"New Sort","Original Sort","Year","Trip","Ship","Comments","Transit","Arrival","Departure","Port","Port City","Port State","Port Country","Area","Original Date Span","Original Complete Port","","","","","","","","","",""
"46","48","","","","","0","05/19/33","05/21/33","2","Balboa","","Panama","","05/19/33","Balboa, Panama","","","","","","","","","",""
"47","49","","","","","12","06/02/33","06/05/33","3","San Diego","California","USA","","02-05 Jun 33","San Diego, Calif.","","","","","","","","","",""
"48","50","","","","","0","06/05/33","06/10/33","5","San Pedro","California","USA","","05-10 Jun 33","Los Angeles / San Pedro, Calif","","","","","","","","","",""
"49","51","","","","","0","06/10/33","06/11/33","1","Santa Barbara","California","USA","","10-11 Jun 33","Santa Barbara, Calif.","","","","","","","","","",""
"50","52","","","","23,196 miles","2","06/13/33","06/13/33","0","Tiburon","California","USA","","06/13/33","Tiburon","","","","","","","","","",""
"51","","","","","","","","","","","","","","","","","","","","","","","","",""
"52","55","1934","""Coast Cruise"", ""Trial Cruise"", ""Show the Flag""","California State","","","11/23/34","11/23/34","0","Tiburon","California","USA","","11/23/34","Tiburon","","","","","","","","","",""
"53","56","","","","","1","11/24/34","11/26/34","2","Stockton","California","USA","","24-26 Nov 34","Stockton","","","","","","","","","",""
"54","57","","","","","0","11/26/34","11/28/34","2","Oakland","California","USA","","11/26/34","Oakland","","","","","","","","","",""
"55","58","","","","","3","12/01/34","12/03/34","2","Eureka","California","USA","","01-03 Dec 34","Eureka","","","","","","","","","",""
"56","59","","","","","1","12/04/34","12/06/34","2","Crescent City","","USA","","12/04/34","Crescent City","","","","","","","","","",""
"57","60","","","","","1","12/07/34","12/08/34","1","Monterey","California","USA","","07-08 Dec 34","Monterey","","","","","","","","","",""
"58","61","","","","","1","12/09/34","12/09/34","0","Port San Luis","California","USA","","12/09/34","Port San Luis","","","","","","","","","",""
"59","62","","","","","1","12/10/34","12/11/34","1","Santa Barbara","California","USA","","10-11 Dec 34","Santa Barbara","","","","","","","","","",""
"60","63","","","","","1","12/12/34","12/16/34","4","Long Beach","California","USA","","12-16 Dec 34","Long Beach","","","","","","","","","",""
"61","64","","","","","1","12/17/34","12/19/34","2","San Diego","California","USA","","17-19 Dec 34","San Diego","","","","","","","","","",""
"62","65","","","","","3","12/22/34","12/22/34","0","Tiburon","California","USA","","12/22/34","Tiburon","","","","","","","","","",""
"63","","","","","","","","","","","","","","","","","","","","","","","","",""
"64","68","1935","Hawaii","California State","Last planned cruise prior to CNS proposed shutdown","","04/03/35","04/03/35","0","Tiburon","California","USA","","04/03/35","Tiburon","","","","","","","","","",""
"65","69","","","","","1","04/04/35","04/06/35","2","Oakland","California","USA","","","Oakland","","","","","","","","","",""
"66","70","","","","","8","04/14/35","04/15/35","1","Hilo","Hawaii","USA","","14-15 Apr 35","Hilo,  Terr. of Hawaii","","","","","","","","","",""
"67","71","","","","Underway Training","1","04/16/35","04/22/35","6","Lahaina","Hawaii","USA","","16-22 Apr 35","Lahaina, Maui, T.H.","","","","","","","","","",""
"68","72","","","","","2","04/24/35","04/27/35","3","Honolulu","Hawaii","USA","","04/24/35","Honolulu, T.H.","","","","","","","","","",""
"69","73","","","","","14","05/11/35","05/11/35","0","Tiburon","California","USA","","05/11/35","Tiburon","","","","","","","","","",""
"70","","","","","","","","","","","","","","","","","","","","","","","","",""
"71","76","1936","Mexico","California State","","","01/31/36","01/31/36","0","Tiburon","California","USA","","01/31/36","Tiburon","","","","","","","","","",""
"72","77","","","","","2","02/02/36","02/02/36","0","San Pedro","California","USA","","02/02/36","San Pedro","","","","","","","","","",""
"73","78","","","","","13","02/15/36","02/20/36","5","Balboa","Canal Zone","Panama","","15-20 Feb 36","Balboa, Canal Zone","","","","","","","","","",""
"74","79","","","","boat practice","2","02/22/36","02/25/36","3","St. Elmo Bay","","Malta","","22-25 Feb 36","St. Elmo Bay","","","","","","","","","",""
"75","80","","","","","1","02/26/36","02/28/36","2","Caragena","","Columbia","","26-28 Feb 36","Caragena, Colombia","","","","","","","","","",""
"76","81","","","","and Mexico City","8","03/07/36","03/11/36","4","Vera Cruz","Veracruz","Mexico","","07-11 Mar 36","Vera Cruz, Mexico","","","","","","","","","",""
"77","82","","","","","3","03/14/36","03/18/36","4","Houston","Texas","USA","","14-18 Mar 36","Houston, Tex","","","","","","","","","",""
"78","83","","","","","8","03/26/36","03/27/36","1","Balboa","","Panama","","26-27 Mar 36","Balboa, Panama","","","","","","","","","",""
"79","84","","","","","4","03/31/36","04/01/36","1","Magdalena Bay","","Mexico","","","Magdalena Bay, Mexico","","","","","","","","","",""
"80","85","","","","added to schedule","7","04/08/36","04/11/36","3","San Diego","California","USA","","08-11 Apr 36","San Diego","","","","","","","","","",""
"81","86","","","","Long Beach","1","04/12/36","04/16/36","4","San Pedro","California","USA","","12-16 Apr 36","San Pedro","","","","","","","","","",""
"82","87","","","","","0","04/16/36","04/17/36","1","Santa Barbara","California","USA","","16-17 Apr 36","Santa Barbara","","","","","","","","","",""
"83","88","","","","10,543 miles","2","04/19/36","04/19/36","0","Tiburon","California","USA","","04/19/36","Tiburon","","","","","","","","","",""
"84","","","","","","","","","","","","","","","","","","","","","","","","",""
"85","91","1937","""South Seas""","California State","","","11/26/36","11/26/36","0","Tiburon","California","USA","","11/26/36","Tiburon","","","","","","","","","",""
"86","92","","","","","11","12/07/36","12/10/36","3","Papeete","Tahiti","French Polynesia","South Pacific","07-10 Dec 36","Papeete, Tahiti","","","","","","","","","",""
"87","93","","","","","11","12/21/36","01/04/37","14","Auckland","","New Zealand","","21 Dec-04 Jan 37","Auckland, New Zealand","","","","","","","","","",""
"88","94","","","","","8","01/12/37","01/16/37","4","Melbourne","","Australia","","12-16 Jan 37","Melbourne, Australia","","","","","","","","","",""
"89","95","","","","","13","01/29/37","01/30/37","1","Sydney","","Australia","","29-30 Jan 37","Sydney, Australia","","","","","","","","","",""
"90","96","","","","","6","02/05/37","02/08/37","3","Suva","","Fiji","South Pacific","05-08 Feb 37","Suva, Fiji Islands","","","","","","","","","",""
"91","97","","","","","3","02/11/37","02/13/37","2","Pago Pago","","American Samoa","South Pacific","11-13 Feb 37","Pago Pago, American Samoa ","","","","","","","","","",""
"92","98","","","","","11","02/24/37","03/05/37","9","Honolulu","Hawaii","USA","","24 Feb-05 Mar 37","Honolulu, Terr. of Hawaii","","","","","","","","","",""
"93","99","","","","","1","03/06/37","03/08/37","2","Hilo","Hawaii","USA","","06-08 Mar 37","Hilo, Hawaii","","","","","","","","","",""
"94","100","","","","","10","03/18/37","03/22/37","4","San Diego","California","USA","","18-22 Mar 37","San Diego, Calif","","","","","","","","","",""
"95","101","","","","San Pedro    ","0","03/22/37","03/27/37","5","Long Beach","California","USA","","22-27 Mar 37","Long Beach, Calif","","","","","","","","","",""
"96","102","","","","","0","03/27/37","03/29/37","2","Santa Barbara","California","USA","","27-29 Mar 37","Santa Barbara","","","","","","","","","",""
"97","103","","","","15,624 miles","2","03/31/37","03/31/37","0","Tiburon","California","USA","","03/31/37","Tiburon","","","","","","","","","",""
"98","","","","","","","","","","","","","","","","","","","","","","","","",""
"99","106","1938-1","East Pacific","California State","","","01/08/38","01/08/38","0","Tiburon","California","USA","","01/08/38","Tiburon","","","","","","","","","",""
"100","107","","","","","11","01/19/38","02/07/38","19","Honolulu","Hawaii","USA","","19 Jan-07 Feb 38","Honolulu, Hawaii","","","","","","","","","",""
"101","108","","","","Underway Training","0","02/07/38","02/15/38","8","Lahaina Roads","Hawaii","USA","","07-15 Feb 38","Lahaina Roads, Maui","","","","","","","","","",""
"102","109","","","","","1","02/16/38","02/18/38","2","Hilo","Hawaii","USA","","","Hilo, Hawaii","","","","","","","","","",""
"103","110","","","","and Mexico City","6","02/24/38","03/05/38","9","Acapulco","Guerrero","Mexico","","24 Feb-05 Mar 38","Acapulco, Mexico","","","","","","","","","",""
"104","111","","","","cancelled due to eng. probs.","12","03/17/38","03/23/38","6","Callao","","Peru","","17-23 Mar 38","Callao, Peru","","","","","","","","","",""
"105","112","","","","","7","03/30/38","04/04/38","5","Balboa","Canal Zone","Panama","","30 Mar-04 Apr 38","Balboa, CZ, Panama","","","","","","","","","",""
"106","113","","","","alternate to Callao","10","04/14/38","04/16/38","2","Mazatlan","Sinaloa","Mexico","","14-16 Apr 38","Mazatlan, Mexico","","","","","","","","","",""
"107","114","","","","Underway Training","2","04/18/38","04/20/38","2","Magdalena Bay","","Mexico","","18-20 Apr 38","Magdalena Bay, Mexico","","","","","","","","","",""
"108","115","","","","","-32","03/19/38","03/23/38","4","San Diego","California","USA","","19-23 Mar 38","San Diego, Calif","","","","","","","","","",""
"109","116","","","","San Pedro","1","03/24/38","03/28/38","4","Long Beach","California","USA","","24-28 Mar 38","Long Beach, Calif","","","","","","","","","",""
"110","117","","","","","5","04/02/38","04/03/38","1","Santa Barbara","California","USA","","02-03 Apr 38","Santa Barbara","","","","","","","","","",""
"111","118","","","","Cancelled","-1","04/02/38","04/02/38","0","Monterey","California","USA","","","Monterey","","","","","","","","","",""
"112","119","","","","Cancelled","2","04/04/38","04/04/38","0","Santa Cruz","California","USA","","","Santa Cruz, Calif.","","","","","","","","","",""
"113","120","","","","","39","05/13/38","05/13/38","0","Tiburon","California","USA","","05/13/38","Tiburon","","","","","","","","","",""
"114","","","","","","","","","","","","","","","","","","","","","","","","",""
"115","123","1938-2","Mini-Cruise","California State","","","08/04/38","08/04/38","0","Tiburon","California","USA","","08/04/38","Tiburon","","","","","","","","","",""
"116","124","","","","San Fran Harbor Days","0","08/04/38","08/06/38","2","San Francisco","California","USA","Pure 45","04-06 Aug 38","San Francisco, pier 45","","","","","","","","","",""
"117","125","","","","","0","08/06/38","08/06/38","0","Tiburon","California","USA","","08/06/38","Tiburon","","","","","","","","","",""
"118","","","","","","","","","","","","","","","","","","","","","","","","",""
"119","128","1939-1","Cent. America","California State","","","01/17/39","01/17/39","0","Tiburon","California","USA","","01/17/39","Tiburon","","","","","","","","","",""
"120","129","","","","","3","01/20/39","01/24/39","4","San Diego","California","USA","","20-24 Jan 39","San Diego, Calif","","","","","","","","","",""
"121","130","","","","","11","02/04/39","02/06/39","2","La Union","","El Salvador","","04-06 Feb 39","La Union, Salvador","","","","","","","","","",""
