"New Sort","Original Sort","Year","Trip","Ship","Comments","Transit","Arrival","Departure","Port","Port City","Port State","Port Country","Area","Original Date Span","Original Complete Port","","","","","","","","","",""
"327","360","","","","","1","05/16/48","05/18/48","2","Santa Barbara","California","USA","","16-18 May 48","Santa Barbara","","","","","","","","","",""
"328","361","","","","National Maritime Day","1","05/19/48","05/23/48","4","San Francisco","California","USA","","19-23 May 48","San Francisco","","","","","","","","","",""
"329","362","","","","","0","05/23/48","05/23/48","0","Vallejo","California","USA","","05/23/48","Vallejo","","","","","","","","","",""
"330","","","","","","","","","","","","","","","","","","","","","","","","",""
"331","365","1948-2","Pacific N.W.","Golden Bear I","Planned 3 week cruise scheduled for Summer '48 but cancelled due to exteneded relief cruise","","","","","Vallejo","California","USA","","Late Spring 48","CANCELLED DUE TO ","","","","","","","","","",""
"332","366","","","","","","","","","","California","USA","","","EXTENDED RELIEF CRUISE","","","","","","","","","",""
"333","370","1948-3","Monterey","USS COLAHAN","only non-CMA ship cruise","","12/10/48","12/10/48","0","Treasure Island","California","USA","","12/10/48","Treasure Island, CA","","","","","","","","","",""
"334","371","","","","","1","12/11/48","12/12/48","1","Monterey","California","USA","","11-12 Dec 48","Monterey CA","","","","","","","","","",""
"335","372","","","","","0","12/12/48","12/13/48","1","Vallejo","California","USA","","12-13 Dec 48","Vallejo","","","","","","","","","",""
"336","373","","","","","0","12/13/48","12/13/48","0","Treasure Island","California","USA","","12/13/48","Treasure Island, CA","","","","","","","","","",""
"337","","","","","","","","","","","","","","","","","","","","","","","","",""
"338","376","1949-1","South America ""Operation Buenos Amigos""","Golden Bear I","","","01/05/49","01/05/49","0","Vallejo","California","USA","","01/05/49","Vallejo","","","","","","","","","",""
"339","377","","","","Shipyard","0","01/05/49","02/07/49","33","Alameda","California","USA","Shipyard","05 Jan-07 Feb 49","Alameda   (shipyard)","","","","","","","","","",""
"340","378","","","","Fuel Stop","2","02/09/49","02/11/49","2","Long Beach","California","USA","","09-11 Feb 49","Los Angeles / Long Beach","","","","","","","","","",""
"341","379","","","","Underway Training","3","02/14/49","02/21/49","7","Magdalena Bay","","Mexico","","14-21 Feb 49","Magdalena Bay, Mexico","","","","","","","","","",""
"342","380","","","","Cancelled","","","","","Guatemala","","Guatemala","","","Guatemala","","","","","","","","","",""
"343","381","","","","","","03/05/49","03/09/49","4","Callao","","Peru","","05-09 Mar 49","Callao, Peru","","","","","","","","","",""
"344","382","","","","","5","03/14/49","03/20/49","6","Valparaiso","","Chile","","14-20 Mar 49","Valparaiso, Chile","","","","","","","","","",""
"345","383","","","","","10","03/30/49","04/03/49","4","Balboa","Canal Zone","Panama","","30 Mar-03 Apr 49","Balboa, C.Z., Panama","","","","","","","","","",""
"346","384","","","","","5","04/08/49","04/17/49","9","Acapulco","Guerrero","Mexico","","08-17 Apr 49","Acapulco, Mexico","","","","","","","","","",""
"347","385","","","","","4","04/21/49","04/28/49","7","Magdalena Bay","","Mexico","","21-28 Apr 49","Magdalena Bay, Mexico","","","","","","","","","",""
"348","386","","","","","2","04/30/49","05/02/49","2","San Diego","California","USA","","30 Apr-02 May 49","San Diego","","","","","","","","","",""
"349","387","","","","","0","05/02/49","05/06/49","4","Long Beach","California","USA","","02-06 May 49","Long Beach","","","","","","","","","",""
"350","388","","","","","1","05/07/49","05/09/49","2","Santa Barbara","California","USA","","07-09 May 49","Santa Barbara","","","","","","","","","",""
"351","389","","","","11,356 miles","1","05/10/49","05/10/49","0","Vallejo","California","USA","","05/10/49","Vallejo","","","","","","","","","",""
"352","","","","","","","","","","","","","","","","","","","","","","","","",""
"353","392","1949-2","Mini-Cruise","Golden Bear I","","","05/20/49","05/20/49","0","Vallejo","California","USA","","05/20/49","Vallejo","","","","","","","","","",""
"354","393","","","","National Maritime Day","0","05/20/49","05/24/49","4","San Francisco","California","USA","","20-24 May 49","San Francisco","","","","","","","","","",""
"355","394","","","","","0","05/24/49","05/24/49","0","Vallejo","California","USA","","05/24/49","Vallejo","","","","","","","","","",""
"356","","","","","","","","","","","","","","","","","","","","","","","","",""
"357","402","1950-1","Caribbean","Golden Bear I","Propposed Itinerary for 1950 Cruise Cancelled due to political unrest in the reigon. (Orient)","","01/09/50","01/09/50","0","Vallejo","California","USA","","01/09/50","Vallejo","","","","","","","","","",""
"358","403","","","","","0","01/09/50","02/09/50","31","Alameda","California","USA","Shipyard","09 Jan-09 Feb 50","Alameda   (shipyard)","","","","","","","","","",""
"359","404","","","","","2","02/11/50","02/13/50","2","Long Beach","California","USA","","11-13 Feb 50","Los Angeles / Long Beach","","","","","","","","","",""
"360","405","","","","","11","02/24/50","02/25/50","1","Balboa","","Panama","","24-25 Feb 50","Balboa, Panama","","","","","","","","","",""
"361","406","","","","","6","03/03/50","03/07/50","4","Houston","Texas","USA","","03-07 Mar 50","Houston Texas","","","","","","","","","",""
"362","407","","","","","2","03/09/50","03/15/50","6","New Orleans","Louisiana","USA","","09-15 Mar 50","New Orleans","","","","","","","","","",""
"363","408","","","","","6","03/21/50","03/25/50","4","St. Thomas","","Virgin Islands","","21-25 Mar 50","St. Thomas, Virgin Islands","","","","","","","","","",""
"364","409","","","","","2","03/27/50","03/29/50","2","Curacao","","Curacao","","27-29 Mar 50","Curacao, Netherland Antilles","","","","","","","","","",""
"365","410","","","","","3","04/01/50","04/03/50","2","Colon","","Panama","","01-03 Apr 50","Colon, Panama","","","","","","","","","",""
"366","411","","","","","0","04/03/50","04/03/50","0","Balboa","","Panama","","04/03/50","Balboa, Panama","","","","","","","","","",""
"367","412","","","","","6","04/09/50","04/17/50","8","Acapulco","Guerrero","Mexico","","09-17 Apr 50","Acapulco, Mexico","","","","","","","","","",""
"368","413","","","","","6","04/23/50","04/27/50","4","San Diego","California","USA","","23-27 Apr 50","San Diego","","","","","","","","","",""
"369","414","","","","","0","04/27/50","05/01/50","4","Long Beach","California","USA","","27 Apr-01 May 50","Long Beach","","","","","","","","","",""
"370","415","","","","","1","05/02/50","05/04/50","2","Santa Barbara","California","USA","","02-04 May 50","Santa Barbara","","","","","","","","","",""
"371","416","","","","","1","05/05/50","05/09/50","4","Oakland","California","USA","","05-09 May 50","Oakland","","","","","","","","","",""
"372","417","","","","8828 miles","0","05/09/50","05/09/50","0","Vallejo","California","USA","","05/09/50","Vallejo","","","","","","","","","",""
"373","","","","","","","","","","","","","","","","","","","","","","","","",""
"374","420","1950-2","Mini-Cruise","Golden Bear I","","","05/20/50","05/20/50","0","Vallejo","California","USA","","05/20/50","Vallejo","","","","","","","","","",""
"375","421","","","","National Maritime Day","0","05/20/50","05/22/50","2","San Francisco","California","USA","Hunters Point","20-22 May 50","San Francisco   (Hunters Point)","","","","","","","","","",""
"376","422","","","","","0","05/22/50","05/22/50","0","Vallejo","California","USA","","05/22/50","Vallejo","","","","","","","","","",""
"377","","","","","","","","","","","","","","","","","","","","","","","","",""
"378","425","1951","Pacific N.W. ""Operatio Frontier""","Golden Bear I","","","01/09/51","01/09/51","0","Vallejo","California","USA","","01/09/51","Vallejo","","","","","","","","","",""
"379","426","","","","","17","01/26/51","01/26/51","0","San Francisco","California","USA","","01/26/51","San Francisco","","","","","","","","","",""
"380","427","","","","","3","01/29/51","01/31/51","2","Portland","Oregon","USA","","29-31 Jan 51","Portland Oregon","","","","","","","","","",""
"381","428","","","","","2","02/02/51","02/07/51","5","Seattle","Washington","USA","","02-07 Feb 51","Seattle Wash","","","","","","","","","",""
"382","429","","","","","0","02/07/51","02/10/51","3","Vancouver","British Columbia","Canada","","07-10 Feb 51","Vancouver, B.C.","","","","","","","","","",""
"383","430","","","","","9","02/19/51","02/25/51","6","Honolulu","Hawaii","USA","","19-25 Feb 51","Honolulu Hawaii","","","","","","","","","",""
"384","431","","","","","1","02/26/51","02/28/51","2","Hilo","Hawaii","USA","","26-28 Feb 51","Hilo Hawaii","","","","","","","","","",""
"385","432","","","","","13","03/13/51","03/21/51","8","Acapulco","Guerrero","Mexico","","13-21 Mar 51","Acapulco, Mexico","","","","","","","","","",""
"386","433","","","","","6","03/27/51","03/31/51","4","San Diego","California","USA","","27-31 Mar 51","San Diego","","","","","","","","","",""
"387","434","","","","","0","03/31/51","04/04/51","4","Long Beach","California","USA","","31 Mar-04 Apr 51","Long Beach","","","","","","","","","",""
"388","435","","","","","1","04/05/51","04/07/51","2","Santa Barbara","California","USA","","05-07 Apr 51","Santa Barbara","","","","","","","","","",""
"389","436","","","","","1","04/08/51","04/10/51","2","Oakland","California","USA","","08-10 Apr 51","Oakland","","","","","","","","","",""
"390","437","","","","8828 miles","0","04/10/51","04/10/51","0","Vallejo","California","USA","","04/10/51","Vallejo","","","","","","","","","",""
"391","","","","","","","","","","","","","","","","","","","","","","","","",""
"392","440","1951-2","Mini-Cruise ""Operation Showboat""","Golden Bear I","","","05/25/51","05/25/51","0","Vallejo","California","USA","","05/25/51","Vallejo","","","","","","","","","",""
"393","441","","","","Maritime Day & World Trade Week","0","05/25/51","05/28/51","3","San Francisco","California","USA","","25-28 May 51","San Francisco","","","","","","","","","",""
"394","442","","","","","0","05/28/51","05/28/51","0","Vallejo","California","USA","","05/28/51","Vallejo","","","","","","","","","",""
"395","","","","","","","","","","","","","","","","","","","","","","","","",""
"396","445","1952-1","Mexico ""Operation Amigos""","Golden Bear I","","","01/30/52","01/30/52","0","Vallejo","California","USA","","01/30/52","Vallejo","","","","","","","","","",""
"397","446","","","","","6","02/05/52","02/07/52","2","Manzanillo","Colima","Mexico","","05-07 Feb 52","Manzanillo, Mexico","","","","","","","","","",""
"398","447","","","","","10","02/17/52","02/23/52","6","Callao","","Peru","","17-23 Feb 52","Callao, Peru","","","","","","","","","",""
"399","448","","","","","7","03/01/52","03/09/52","8","San Jose","","Guatemala","","01-09 Mar 52","San Jose, Guatamala","","","","","","","","","",""
"400","449","","","","","2","03/11/52","03/19/52","8","Acapulco","Guerrero","Mexico","","11-19 Mar 52","Acapulco, Mexico","","","","","","","","","",""
"401","450","","","","","6","03/25/52","03/29/52","4","San Diego","California","USA","","25-29 Mar 52","San Diego, Calif","","","","","","","","","",""
"402","451","","","","","0","03/29/52","04/02/52","4","Long Beach","California","USA","","29 Mar-02 Apr 52","Long Beach, Calif","","","","","","","","","",""
"403","452","","","","","1","04/03/52","04/05/52","2","Santa Barbara","California","USA","","03-05 Apr 52","Santa Barbara","","","","","","","","","",""
"404","453","","","","","1","04/06/52","04/09/52","3","Oakland","California","USA","","06-09 Apr 52","Oakland","","","","","","","","","",""
"405","454","","","","","0","04/09/52","04/12/52","3","Stockton","California","USA","","09-12 Apr 52","Stockton","","","","","","","","","",""
"406","455","","","","8320 miles","0","04/12/52","04/12/52","0","Vallejo","California","USA","","04/12/52","Vallejo","","","","","","","","","",""
"407","","","","","","","","","","","","","","","","","","","","","","","","",""
"408","458","1952-2","Mini-Cruise ""Operation Showboat""","Golden Bear I","","","05/20/52","05/20/52","0","Vallejo","California","USA","","05/20/52","Vallejo","","","","","","","","","",""
"409","459","","","","National Maritime Day","0","05/20/52","05/23/52","3","San Francisco","California","USA","","20-23 May 52","San Francisco","","","","","","","","","",""
"410","460","","","","","0","05/23/52","05/23/52","0","Vallejo","California","USA","","05/23/52","Vallejo","","","","","","","","","",""
"411","","","","","","","","","","","","","","","","","","","","","","","","",""
"412","463","1952-3","Los Angeles ""Operation Propeller""","Golden Bear I","","","10/04/52","10/04/52","0","Vallejo","California","USA","","10/04/52","Vallejo","","","","","","","","","",""
"413","464","","","","Propeller Club National Convention","1","10/05/52","10/11/52","6","Los Angeles","California","USA","","05-11 Oct 52","Los Angeles","","","","","","","","","",""
"414","465","","","","790 miles","1","10/12/52","10/12/52","0","Vallejo","California","USA","","10/12/52","Vallejo","","","","","","","","","",""
"415","","","","","","","","","","","","","","","","","","","","","","","","",""
"416","468","1953-1","Hawaii ""Operation Coconut""","Golden Bear I","","","01/31/53","01/31/53","0","Vallejo","California","USA","","01/31/53","Vallejo","","","","","","","","","",""
"417","469","","","","","8","02/08/53","02/10/53","2","Hilo","Hawaii","USA","","08-10 Feb 53","Hilo Hawaii","","","","","","","","","",""
"418","470","","","","","9","02/19/53","02/23/53","4","Pago Pago","","American Samoa","South Pacific","19-23 Feb 53","Pago Pago, Samoa","","","","","","","","","",""
"419","471","","","","","10","03/05/53","03/07/53","2","Lahaina Roads","Hawaii","USA","","05-07 Mar 53","Lahaina Roads, Hawaii","","","","","","","","","",""
"420","472","","","","","0","03/07/53","03/12/53","5","Honolulu","Hawaii","USA","","07-12 Mar 53","Honolulu Hawaii","","","","","","","","","",""
"421","473","","","","","9","03/21/53","03/23/53","2","San Diego","California","USA","","21-23 Mar 53","San Diego","","","","","","","","","",""
"422","474","","","","","0","03/23/53","03/26/53","3","Long Beach","California","USA","","23-26 Mar 53","Long Beach","","","","","","","","","",""
"423","475","","","","","0","03/26/53","03/28/53","2","Santa Barbara","California","USA","","26-28 Mar 53","Santa Barbara","","","","","","","","","",""
"424","476","","","","","1","03/29/53","03/31/53","2","Oakland","California","USA","","29-31 Mar 53","Oakland","","","","","","","","","",""
"425","477","","","","","0","03/31/53","04/03/53","3","Stockton","California","USA","","31 Mar-03 Apr 53","Stockton","","","","","","","","","",""
"426","478","","","","","0","04/03/53","04/03/53","0","Vallejo","California","USA","","04/03/53","Vallejo","","","","","","","","","",""
"427","","","","","","","","","","","","","","","","","","","","","","","","",""
"428","481","1953-2","Mini-Cruise","Golden Bear I","","","05/20/53","05/20/53","0","Vallejo","California","USA","","05/20/53","Vallejo","","","","","","","","","",""
"429","482","","","","National Maritime Day","1","05/21/53","05/25/53","4","San Francisco","California","USA","","21-25 May 53","San Francisco","","","","","","","","","",""
"430","483","","","","","0","05/25/53","05/25/53","0","Vallejo","California","USA","","05/25/53","Vallejo","","","","","","","","","",""
"431","","","","","","","","","","","","","","","","","","","","","","","","",""
"432","486","1954-1","Central America ""Operation Goodwill""","Golden Bear I","","","01/27/54","01/27/54","0","Vallejo","California","USA","","01/27/54","Vallejo","","","","","","","","","",""
"433","487","","","","","2","01/29/54","01/29/54","0","Los Angeles","California","USA","","01/29/54","Los Angeles","","","","","","","","","",""
"434","488","","","","and Lima","14","02/12/54","02/16/54","4","Callao","","Peru","","12-16 Feb 54","Callao, Peru","","","","","","","","","",""
"435","489","","","","","5","02/21/54","02/25/54","4","Valparaiso","","Chile","","21-25 Feb 54","Valparaiso, Chile","","","","","","","","","",""
"436","490","","","","","10","03/07/54","03/09/54","2","Balboa","","Panama","","07-09 Mar 54","Balboa, Panama","","","","","","","","","",""
"437","491","","","","","6","03/15/54","03/19/54","4","Acapulco","Guerrero","Mexico","","15-19 Mar 54","Acapulco, Mexico","","","","","","","","","",""
"438","492","","","","","6","03/25/54","03/27/54","2","San Diego","California","USA","","25-27 Mar 54","San Diego, Calif","","","","","","","","","",""
"439","493","","","","","0","03/27/54","03/29/54","2","Long Beach","California","USA","","27-29 Mar 54","Long Beach, Calif","","","","","","","","","",""
"440","494","","","","","1","03/30/54","04/01/54","2","Santa Barbara","California","USA","","30 Mar-01 Apr 54","Santa Barbara ","","","","","","","","","",""
"441","495","","","","11,307 miles","1","04/02/54","04/02/54","0","Vallejo","California","USA","","04/02/54","Vallejo","","","","","","","","","",""
"442","","","","","","","","","","","","","","","","","","","","","","","","",""
"443","498","1954-2","Mini-Cruise","Golden Bear I","","","05/01/54","05/01/54","0","Vallejo","California","USA","","","Vallejo","","","","","","","","","",""
"444","499","","","","Maritime Day ","0","05/01/54","05/01/54","0","San Francisco","California","USA","","05/01/54","San Francisco","","","","","","","","","",""
"445","","","","","","0","05/01/54","05/01/54","0","Vallejo","","","","","","","","","","","","","","",""
"446","","","","","","","","","","","","","","","","","","","","","","","","",""
"447","503","1955-1","Tropic","Golden Bear I","","","01/07/55","01/07/55","0","Vallejo","California","USA","","01/07/55","Vallejo","","","","","","","","","",""
"448","504","","","","Shipyard","0","01/07/55","01/31/55","24","San Francisco","California","USA","","07-31 Jan 55","San Francisco","","","","","","","","","",""
"449","505","","","","","8","02/08/55","02/12/55","4","Honolulu","Hawaii","USA","","08-12 Feb 55","Honolulu","","","","","","","","","",""
"450","506","","","","4 days","10","02/22/55","02/28/55","6","Papeete","Tahiti","French Polynesia","South Pacific","22-28 Feb 55","Papeete, Tahiti","","","","","","","","","",""
"451","507","","","","4 days","14","03/14/55","03/20/55","6","Acapulco","Guerrero","Mexico","","14-20 Mar 55","Acapulco, Mexico","","","","","","","","","",""
"452","508","","","","","6","03/26/55","03/28/55","2","San Diego","California","USA","","26-28 Mar 55","San Diego, Calif","","","","","","","","","",""
"453","509","","","","","0","03/28/55","03/30/55","2","Long Beach","California","USA","","28-30 Mar 55","Long Beach, Calif","","","","","","","","","",""
"454","510","","","","","1","03/31/55","04/02/55","2","Santa Barbara","California","USA","","31 Mar-02 Apr 55","Santa Barbara","","","","","","","","","",""
"455","511","","","","","1","04/03/55","04/05/55","2","Oakland","California","USA","","03-05 Apr 55","Oakland","","","","","","","","","",""
"456","512","","","","10,041 miles","0","04/05/55","04/05/55","0","Vallejo","California","USA","","04/05/55","Vallejo","","","","","","","","","",""
"457","","","","","","","","","","","","","","","","","","","","","","","","",""
"458","515","1955-2","Mini-Cruise","Golden Bear I","","","05/19/55","05/19/55","0","Vallejo","California","USA","","05/19/55","Vallejo","","","","","","","","","",""
"459","516","","","","Golden Gate Trade & Maritime Festival","0","05/19/55","05/23/55","4","San Francisco","California","USA","","19-23 May 55","San Francisco","","","","","","","","","",""
"460","517","","","","","0","05/23/55","05/23/55","0","Vallejo","California","USA","","05/23/55","Vallejo","","","","","","","","","",""
"461","","","","","","","","","","","","","","","","","","","","","","","","",""
"462","520","1956","Mexico","Golden Bear I","","","01/11/56","01/11/56","0","Vallejo","California","USA","","01/11/56","Vallejo","","","","","","","","","",""
"463","521","","","","shipyard overhaul","0","01/11/56","02/02/56","22","San Francisco","California","USA","","11 Jan-02 Feb 56","San Francisco","","","","","","","","","",""
"464","522","","","","","14","02/16/56","02/20/56","4","Balboa","","Panama","","16-20 Feb 56","Balboa, Panama","","","","","","","","","",""
"465","523","","","","","7","02/27/56","03/03/56","5","Acapulco","Guerrero","Mexico","","27 Feb-03 Mar 56","Acapulco, Mexico","","","","","","","","","",""
"466","524","","","","","6","03/09/56","03/12/56","3","San Diego","California","USA","","09-12 Mar 56","San Diego, Calif","","","","","","","","","",""
"467","525","","","","","0","03/12/56","03/14/56","2","Long Beach","California","USA","","12-14 Mar 56","Long Beach, Calif","","","","","","","","","",""
"468","526","","","","","1","03/15/56","03/17/56","2","Santa Barbara","California","USA","","15-17 Mar 56","Santa Barbara","","","","","","","","","",""
"469","527","","","","6659 miles","1","03/18/56","03/18/56","0","Vallejo","California","USA","","03/18/56","Vallejo","","","","","","","","","",""
"470","","","","","","","","","","","","","","","","","","","","","","","","",""
"471","530","1957-1","Latin America (Trade Voyage)","Golden Bear I","","","01/08/57","01/08/57","0","Vallejo","California","USA","","01/08/57","Vallejo","","","","","","","","","",""
"472","531","","","","no liberty","1","01/09/57","02/02/57","24","San Francisco","California","USA","Drydock","09 Jan-02 Feb 57","San Francisco        (drydock)","","","","","","","","","",""
"473","532","","","","6 days","6","02/08/57","02/14/57","6","Acapulco","Guerrero","Mexico","","08-14 Feb 57","Acapulco, Mexico","","","","","","","","","",""
"474","533","","","","","6","02/20/57","02/24/57","4","Balboa","","Panama","","20-24 Feb 57","Balboa, Panama","","","","","","","","","",""
"475","534","","","","","7","03/03/57","03/05/57","2","Manzanillo","Colima","Mexico","","03-05 Mar 57","Manzanillo, Mexico","","","","","","","","","",""
"476","535","","","","","-23","02/10/57","02/12/57","2","San Diego","California","USA","","10-12 Feb 57","San Diego, Calif","","","","","","","","","",""
"477","536","","","","","28","03/12/57","03/14/57","2","Long Beach","California","USA","","12-14 Mar 57","Long Beach, Calif","","","","","","","","","",""
"478","537","","","","2 days","1","03/15/57","03/17/57","2","Santa Barbara","California","USA","","15-17 Mar 57","Santa Barbara","","","","","","","","","",""
"479","538","","","","2 days","1","03/18/57","03/19/57","1","Monterey","California","USA","","18-19 Mar 57","Monterey","","","","","","","","","",""
"480","539","","","","","1","03/20/57","03/20/57","0","Vallejo","California","USA","","03/20/57","Vallejo","","","","","","","","","",""
"481","","","","","","","","","","","","","","","","","","","","","","","","",""
"482","542","1957-2","Mini-Cruise","Golden Bear I","","","03/30/57","03/30/57","0","Vallejo","California","USA","","","Vallejo","","","","","","","","","",""
"483","543","","","","Maritime Day celebration","0","03/30/57","03/30/57","0","San Francisco","California","USA","","03/01/57","San Francisco","","","","","","","","","",""
"484","544","","","","","0","03/30/57","03/30/57","0","Vallejo","California","USA","","","Vallejo","","","","","","","","","",""
"485","","","","","","","","","","","","","","","","","","","","","","","","",""
"486","547","1958","S. America ""Galapagos Island Expedition""","Golden Bear I","","","01/08/58","01/08/58","0","Vallejo","California","USA","","01/08/58","Vallejo","","","","","","","","","",""
"487","548","","","","Fuel Stop","0","01/08/58","01/08/58","0","Richmond","California","USA","","01/08/58","Richmond, Calif.","","","","","","","","","",""
"488","549","","","","","0","01/08/58","01/31/58","23","San Francisco","California","USA","Drydock","08-31 Jan 58","San Francisco   (drydock)","","","","","","","","","",""
"489","550","","","","LOSA","1","02/01/58","02/01/58","0","San Pedro","California","USA","","02/01/58","San Pedro, Calif.","","","","","","","","","",""
"490","551","","","","","3","02/04/58","02/06/58","2","Magdalena Bay","","Mexico","","04-06 Feb 58","Magdalena Bay, Mex.","","","","","","","","","",""
"491","552","","","","paint ship at Tagus Bay","7","02/13/58","02/18/58","5","Galapagos Islands","","Ecuador","","13-18 Feb 58","Galapagos, Ecuador","","","","","","","","","",""
"492","553","","","","and Lima","4","02/22/58","02/28/58","6","Callao","","Peru","","22-28 Feb 58","Callao, Peru","","","","","","","","","",""
"493","554","","","","","5","03/05/58","03/10/58","5","Balboa","","Panama","","05-10 Mar 58","Balboa, Panama","","","","","","","","","",""
"494","555","","","","","7","03/17/58","03/18/58","1","Magdalena Bay","","Mexico","","17-18 Mar 58","Magdalena Bay, Mex.","","","","","","","","","",""
"495","556","","","","","3","03/21/58","03/24/58","3","San Diego","California","USA","","21-24 Mar 58","San Diego, Calif","","","","","","","","","",""
"496","557","","","","","0","03/24/58","03/27/58","3","Long Beach","California","USA","","24-27 Mar 58","Los Angeles / Long Beach","","","","","","","","","",""
"497","558","","","","","1","03/28/58","03/31/58","3","Santa Barbara","California","USA","","28-31 Mar 58","Santa Barbara","","","","","","","","","",""
"498","559","","","","8795 miles","1","04/01/58","04/01/58","0","Vallejo","California","USA","","04/01/58","Vallejo","","","","","","","","","",""
"499","","","","","","","","","","","","","","","","","","","","","","","","",""
"500","562","1959","Pacific N.W.","Golden Bear I","","","05/01/59","05/01/59","0","Vallejo","California","USA","","05/01/59","Vallejo","","","","","","","","","",""
"501","563","","","","","0","05/01/59","05/28/59","27","San Francisco","California","USA","Overhaul","01-28 May 59","San Francisco  (overhaul)","","","","","","","","","",""
"502","564","","","","National Maritime Day","1","05/29/59","06/01/59","3","San Francisco","California","USA","","29 May-01 Jun 59","San Francisco","","","","","","","","","",""
"503","565","","","","Rose Festival","9","06/10/59","06/14/59","4","Portland","Oregon","USA","","10-14 Jun 59","Portland Oregon","","","","","","","","","",""
"504","566","","","","","2","06/16/59","06/18/59","2","Seattle","Washington","USA","","16-18 Jun 59","Seattle Wash","","","","","","","","","",""
"505","567","","","","","1","06/19/59","06/22/59","3","Vancouver","British Columbia","Canada","","19-22 Jun 59","Vancouver, B.C.","","","","","","","","","",""
"506","568","","","","Underway Training","4","06/26/59","07/01/59","5","Santa Catalina Island","California","USA","","","Santa Catalina Island","","","","","","","","","",""
"507","569","","","","","2","07/03/59","07/06/59","3","San Diego","California","USA","","03-06 July 59","San Diego","","","","","","","","","",""
"508","570","","","","","1","07/07/59","07/10/59","3","Long Beach","California","USA","","07-10 Jul 59","Long Beach","","","","","","","","","",""
"509","571","","","","","0","07/10/59","07/13/59","3","Santa Barbara","California","USA","","10-13 Jul 59","Santa Barbara","","","","","","","","","",""
"510","572","","","","","1","07/14/59","07/14/59","0","San Francisco","California","USA","","07/14/59","San Francisco   ","","","","","","","","","",""
"511","573","","","","5500 miles","0","07/14/59","07/14/59","0","Vallejo","California","USA","","07/14/59","Vallejo","","","","","","","","","",""
"512","","","","","","","","","","","","","","","","","","","","","","","","",""
"513","576","1960","Gulf Of Mexico","Golden Bear I","","","01/06/60","01/06/60","0","Vallejo","California","USA","","01/06/60","Vallejo","","","","","","","","","",""
"514","577","","","","Shipyard","0","01/06/60","01/08/60","2","Richmond","California","USA","","06-08 Jan 60","Richmond","","","","","","","","","",""
"515","578","","","","","0","01/08/60","01/25/60","17","San Francisco","California","USA","","08-25 Jan 60","San Francisco","","","","","","","","","",""
"516","579","","","","Refueling","0","01/25/60","01/26/60","1","Richmond","California","USA","","25-26 Jan 60","Richmond","","","","","","","","","",""
"517","580","","","","","13","02/08/60","02/11/60","3","Balboa","Canal Zone","Panama","","08-11 Feb 60","Balboa, C.Z., Panama","","","","","","","","","",""
"518","581","","","","","5","02/16/60","02/20/60","4","New Orleans","Louisiana","USA","","16-20 Feb 60","New Orleans","","","","","","","","","",""
"519","582","","","","","4","02/24/60","02/26/60","2","Kingston","","Jamaica","","24-26 Feb 60","Kingston, Jamaica","","","","","","","","","",""
"520","583","","","","","2","02/28/60","02/29/60","1","Cristobal","","Panama","","28-29 Feb 60","Cristobal, Panama","","","","","","","","","",""
"521","584","","","","","11","03/11/60","03/14/60","3","San Diego","California","USA","","11-14 Mar 60","San Diego","","","","","","","","","",""
"522","585","","","","Capt. Turpin dies  enroute Vallejo","0","03/14/60","03/16/60","2","Long Beach","California","USA","","14-16 Mar 60","Long Beach","","","","","","","","","",""
"523","586","","","","","1","03/17/60","03/17/60","0","Vallejo","California","USA","","03/17/60","Vallejo","","","","","","","","","",""
"524","","","","","","","","","","","","","","","","","","","","","","","","",""
"525","588","1961","Tropic","Golden Bear I","annual overhaul","","01/14/61","01/19/61","5","San Francisco","California","USA","Bethlehem Shipyard","14-19 Jan 61","Bethlehem SY SFran   ","","","","","","","","","",""
"526","589","","","","","0","01/19/61","01/19/61","0","Vallejo","California","USA","","01/19/61","Vallejo","","","","","","","","","",""
"527","590","","","","","0","01/19/61","01/19/61","0","Richmond","California","USA","","01/19/61","Richmond","","","","","","","","","",""
"528","591","","","","","14","02/02/61","02/06/61","4","Papeete","Tahiti","French Polynesia","South Pacific","02-06 Feb 61","Papeete, Tahiti","","","","","","","","","",""
"529","592","","","","","5","02/11/61","02/13/61","2","Pago Pago","","American Samoa","South Pacific","11-13 Feb 61","Pago Pago, Am.Samoa","","","","","","","","","",""
"530","593","","","","","3","02/16/61","02/18/61","2","Suva","","Fiji","South Pacific","16-18 Feb 61","Suva, Fiji Islands","","","","","","","","","",""
"531","594","","","","","10","02/28/61","03/02/61","2","Hilo","Hawaii","USA","","28 Feb-02 Mar 61","Hilo Hawaii","","","","","","","","","",""
"532","595","","","","","1","03/03/61","03/07/61","4","Honolulu","Hawaii","USA","","03-07 Mar 61","Honolulu, Hawaii","","","","","","","","","",""
"533","596","","","","","9","03/16/61","03/18/61","2","San Diego","California","USA","","16-18 Mar 61","San Diego","","","","","","","","","",""
"534","597","","","","","0","03/18/61","03/21/61","3","Long Beach","California","USA","","18-21 Mar 61","Long Beach","","","","","","","","","",""
"535","598","","","","","1","03/22/61","","0","Santa Barbara","California","USA","","22-23 Mar 61","Santa Barbara","","","","","","","","","",""
"536","599","","","","","1","03/23/61","03/23/61","0","Port Hueneme","California","USA","","22-23 Mar 61","Port Hueneme, Calif.","","","","","","","","","",""
"537","600","","","","","1","03/24/61","03/24/61","0","Vallejo","California","USA","","03/24/61","Vallejo","","","","","","","","","",""
