"Cleaned Port","Country","Lat","Lng","Frequency","Wikidata ID"
"Academy Bay","Ecuador","-0.7520153","-90.3018673","2",""
"Acajutla","El Salvador","13.5957","-89.8270894","2",""
"Acapulco","Mexico","16.8639515","-99.8822807","26",""
"Alameda","United States of America","37.7798721","-122.2821855","5",""
"Alexandria","Egypt","31.2000924","29.9187387","1",""
"Algiers","Algeria","36.753768","3.0587561","1",""
"Amapala","Honduras","13.2916538","-87.6519473","1",""
"Anchorage","United States of America","61.2175758","-149.8996785","1",""
"Annapolis","United States of America","38.9784453","-76.4921829","1",""
"Antofagasta","Chile","-23.6509279","-70.3975022","1",""
"Apia","Samoa","-13.831609","-171.7689086","2",""
"Apra","","13.455407","144.6451455","7",""
"Astoria","United States of America","46.1878841","-123.8312534","2",""
"Attu/Adak","United States of America","51.8667982","-176.6385354","1",""
"Auckland","New Zealand","-36.8508827","174.7644881","11",""
"Bahia de Todos Santos","Mexico","31.7953617","-116.6789163","2",""
"Balboa","Panama","8.9613962","-79.5631537","37",""
"Barbados","Barbados","13.193887","-59.543198","1",""
"Barcelona","Spain","41.3873974","2.168568","4",""
"Bitung","Indonesia","1.4446154","125.1871713","1",""
"Boston","United States of America","42.3600825","-71.0588801","2",""
"Brisbane","Australia","-27.4704528","153.0260341","5",""
"Buenaventura","Columbia","3.8830471","-77.0197212","1",""
"Buenos Aires","Argentina","-34.6036844","-58.3815591","1",""
"Busan","Korea","35.1731121","129.0714122","6",""
"Cabo San Lucas","Mexico","22.8948129","-109.9152149","8",""
"Cairns","Australia","-16.9203476","145.7709529","2",""
"Caldera","Costa Rica","9.9400553","-84.7276382","2",""
"California City","United States of America","35.125801","-117.9859038","1",""
"Callao","Peru","-12.0511717","-77.1256883","19",""
"Caragena","Columbia","10.3932277","-75.4832311","2",""
"Cebu City","Philippines","10.3156992","123.8854366","2",""
"Cedros Island","Mexico","28.1901766","-115.2126293","4",""
"Channel Islands","United States of America","34.15600512","-119.2299255","1",""
"Charlotte Amalie","Virgin Islands","18.3418571","-64.93106","2",""
"Chi-lung Chiang","Taiwan","25.13888064","121.7508907","1",""
"Cocos Island","Costa Rica","5.5282283","-87.0574302","5",""
"Colon","Panama","9.359302","-79.8998608","1",""
"Colonia","Micronesia","9.516379","138.1222007","2",""
"Columbo","Ceylon","6.9270786","79.861243","1",""
"Coos Bay","United States of America","43.3672213","-124.2131325","1",""
"Crescent City","United States of America","41.7557501","-124.2025913","1",""
"Cristobal","Panama","9.350599","-79.901527","14",""
"Curacao","Curacao","12.16957","-68.99002","4",""
"Da Nang","Vietnam","16.0544068","108.2021667","1",""
"Dalian","China","38.9139899","121.6147","1",""
"Dutch Harbor","United States of America","53.8945552","-166.5400929","1",""
"Easter Island","Chile","-27.112723","-109.3496865","1",""
"Ensenada","Mexico","31.8667427","-116.5963713","1",""
"Eureka","United States of America","40.8020712","-124.1636729","4",""
"Farallon Islands","United States of America","37.6985723","-123.0022067","2",""
"Fiji","Fiji","-17.713371","178.065032","1",""
"Funchal","","32.6506129","-16.9082357","2",""
"Galapagos Islands","Ecuador","-0.3831059168","-90.42333443","9",""
"Galveston","United States of America","29.3013479","-94.7976958","1",""
"Genoa","Italy","44.4071448","8.9347381","1",""
"Georgetown","Cayman Islands","19.2965778","-81.3819158","2",""
"Gibraltar","Gibraltar","40.463667","-3.74922","2",""
"Glacier Bay","United States of America","58.7","-136.15","1",""
"Golfito","Costa Rica","8.6040618","-83.1133792","1",""
"Guam Coastal","Costa Rica","13.48045356","144.7293502","1",""
"Guantanamo","Cuba","20.011737","-75.1216254","1",""
"Guatemala","Guatemala","15.783471","-90.230759","1",""
"Guayaquil","Ecuador","-2.1891341","-79.8899031","6",""
"Guaymas","Ecuador","27.9110633","-110.9090678","1",""
"Gulf of Panama","Panama","8.1731755","-79.560344","3",""
"Ha Long","Vietnam","20.9711977","107.0448069","2",""
"Hampton Roads","United States of America","36.9338606","-76.3637285","1",""
"Harumi","Japan","35.6527438","139.7805445","1",""
"Havana","Cuba","23.1135925","-82.3665956","1",""
"Hilo","United States of America","19.7216023","-155.084887","14",""
"Hong Kong","China","22.3193039","114.1693611","9",""
"Honiara","","-9.4306698","159.9526758","1",""
